SCH_CODE,DISTCODE,SCH_NAME,School_address_for_geocode,SCH_CITY,SCH_STATE,SCH_ZIP,SCH_STATUS,SCH_LEVEL_code,school_level,School_type_code,School_type,geocode_amentity,Longitude_geocode,Latitude_geocode,Updated,updated_by
06112,06,Hopkins Hill School,95 Johnson Boulevard,Coventry,RI,02816,1,50,PK-3/Elementary,1,Public,place,-71.56531,41.67319,3/22/19,MJJames
06116,06,Tiogue School,170 East Shore Drive,Coventry,RI,02816,1,20,Elementary,1,Public,place,-71.54585,41.6792,3/22/19,MJJames
06117,06,Blackrock School,12 La Casa Drive,Coventry,RI,02816,1,20,Elementary,1,Public,place,-71.5514,41.71171,3/22/19,MJJames
06119,06,Coventry High School,40 Reservoir Road,Coventry,RI,02816,1,40,Secondary,1,Public,amenity,-71.5905,41.6853,3/22/19,MJJames
06121,06,Washington Oak School,801 Read School House Road,Coventry,RI,02816,1,50,PK-3/Elementary,1,Public,place,-71.60297,41.72495,3/22/19,MJJames
06123,06,The Regional Career and Technical Center at Covent,40 Reservoir Road,Coventry,RI,02816,1,40,Secondary,1,Public,amenity,-71.5905,41.6853,3/22/19,MJJames
06204,06,Father John V. Doyle School,343 South Main Street,Coventry,RI,02816,1,50,PK-3/Elementary,2,Parochial,highway,-71.56662,41.69004,3/22/19,MJJames
06302,06,Creative Child,613 Tiogue Avenue,Coventry,RI,02816,1,10,PK Only,3,Private,place,-71.55815,41.68339,3/22/19,MJJames
06303,,Groden Center South,2 St Vincent de Paul Street,Coventry,RI,02816,1,54,Elementary/Secondary,3,Private,place,-71.5479,41.69803,3/22/19,MJJames
06323,06,CHILD  Inc,23 Cady Street,Coventry,RI,02816,1,10,PK Only,3,Private,place,-71.56729,41.68825,3/22/19,MJJames
06324,06,Raggedy Ann and Andy Nursery School,179 Hopkins Hollow Road,Greene,RI,02827,1,10,PK Only,3,Private,place,-71.74761,41.68931,3/22/19,MJJames
06908,06,Community Solutions,344 Hopkins Hill Road,Coventry,RI,02816,1,54,Elementary/Secondary,9,Other,place,-71.56952,41.66817,3/22/19,MJJames
07103,07,Oak Lawn School,36 Stoneham Street,Cranston,RI,02920,1,50,PK-3/Elementary,1,Public,place,-71.48167,41.7463,3/22/19,MJJames
07104,07,Cranston Early Learning Center,45 Sprague Avenue,Cranston,RI,02910,1,12,PK-3,1,Public,place,-71.43753,41.78592,3/22/19,MJJames
07110,07,Daniel D. Waterman School,722 Pontiac Avenue,Cranston,RI,02910,1,20,Elementary,1,Public,place,-71.44066,41.76647,3/22/19,MJJames
07112,07,Chester W. Barrows School,9 Beachmont Avenue,Cranston,RI,02905,1,20,Elementary,1,Public,place,-71.40722,41.77287,3/22/19,MJJames
07113,07,Cranston High School East,899 Park Avenue,Cranston,RI,02910,1,40,Secondary,1,Public,amenity,-71.4378,41.78022,3/22/19,MJJames
07115,07,Hugh B. Bain Middle School,135 Gansett Avenue,Cranston,RI,02910,1,30,Middle,1,Public,amenity,-71.45228,41.78605,3/22/19,MJJames
07116,07,William R. Dutemple School,32 Garden Street,Cranston,RI,02910,1,20,Elementary,1,Public,place,-71.43074,41.78141,3/22/19,MJJames
07117,07,Edward S. Rhodes School,160 Shaw Avenue,Cranston,RI,02905,1,20,Elementary,1,Public,place,-71.39699,41.77495,3/22/19,MJJames
07118,07,Eden Park School,180 Oakland Avenue,Cranston,RI,02910,1,20,Elementary,1,Public,place,-71.44441,41.77285,3/22/19,MJJames
07119,07,Gladstone Street School,50 Gladstone Street,Cranston,RI,02920,1,20,Elementary,1,Public,place,-71.45,41.79939,3/22/19,MJJames
07120,07,Stadium School,100 Crescent Avenue,Cranston,RI,02910,1,20,Elementary,1,Public,place,-71.44757,41.78882,3/22/19,MJJames
07121,07,Woodridge School,401 Budlong Road,Cranston,RI,02920,1,50,PK-3/Elementary,1,Public,place,-71.4577,41.77198,3/22/19,MJJames
07122,07,Garden City School,70 Plantation Drive,Cranston,RI,02920,1,50,PK-3/Elementary,1,Public,place,-71.45255,41.76114,3/22/19,MJJames
07123,07,Park View Middle School,25 Park View Boulevard,Cranston,RI,02910,1,30,Middle,1,Public,place,-71.41513,41.77308,3/22/19,MJJames
07124,07,George J. Peters School,15 Mayberry Street,Cranston,RI,02920,1,20,Elementary,1,Public,place,-71.47204,41.78269,3/22/19,MJJames
07125,07,Arlington School,155 Princess Avenue,Cranston,RI,02920,1,20,Elementary,1,Public,place,-71.45538,41.79364,3/22/19,MJJames
07126,07,Cranston High School West,80 Metropolitan Avenue,Cranston,RI,02920,1,40,Secondary,1,Public,place,-71.47912,41.7721,3/22/19,MJJames
07127,07,Stone Hill School,21 Village Avenue,Cranston,RI,02920,1,20,Elementary,1,Public,place,-71.48279,41.78663,3/22/19,MJJames
07128,07,Glen Hills School,50 Glen Hills Drive,Cranston,RI,02920,1,20,Elementary,1,Public,place,-71.46962,41.75483,3/22/19,MJJames
07129,07,Western Hills Middle School,400 Phenix Avenue,Cranston,RI,02920,1,30,Middle,1,Public,place,-71.48123,41.77364,3/22/19,MJJames
07130,07,Edgewood Highland School,160 Pawtuxet Avenue,Cranston,RI,02905,1,50,PK-3/Elementary,1,Public,place,-71.39708,41.78096,3/22/19,MJJames
07132,07,Cranston Area Career Technical Center,100 Metropolitan Avenue,Cranston,RI,02920,1,40,Secondary,1,Public,place,-71.47732,41.77159,3/22/19,MJJames
07135,07,NEL/CPS Construction Career Academy,4 Sharpe Drive,Cranston,RI,02920,1,40,Secondary,1,Public,place,-71.45708,41.73963,3/22/19,MJJames
07136,07,Orchard Farms Elementary School,1555 Scituate Avenue,Cranston,RI,02921,1,20,Elementary,1,Public,place,-71.53026,41.77438,3/22/19,MJJames
07137,07,Hope Highlands Middle School,300 Hope Road,Cranston,RI,02921,1,30,Middle,1,Public,place,-71.50821,41.75425,3/22/19,MJJames
07202,07,Immaculate Conception Catholic Regional,235 Garden Hills Drive,Cranston,RI,02920,1,20,Elementary,2,Parochial,place,-71.47521,41.75098,3/22/19,MJJames
07203,07,St. Mary School,85 Chester Avenue,Cranston,RI,02920,1,50,PK-3/Elementary,2,Parochial,place,-71.46473,41.78927,3/22/19,MJJames
07205,07,St. Paul School,1789 Broad Street,Cranston,RI,02905,1,50,PK-3/Elementary,2,Parochial,place,-71.40075,41.77922,3/22/19,MJJames
07301,07,Cornerstone School,665 Dyer Avenue,Cranston,RI,02920,1,54,Elementary/Secondary,3,Private,place,-71.45776,41.7945,3/22/19,MJJames
07302,07,St. David's Preschool,200 Meshanticut Valley Pky.,Cranston,RI,02920,1,10,PK Only,3,Private,place,-71.46687,41.76743,3/22/19,MJJames
07303,07,The Little Shepherd Preschool,565 Pontiac Avenue,Cranston,RI,02910,1,10,PK Only,3,Private,place,-71.43706,41.77212,3/22/19,MJJames
07308,07,Kid's Kingdom,116 Puritan Avenue,Cranston,RI,02920,1,50,PK-3/Elementary,3,Private,place,-71.4562,41.7934,3/22/19,MJJames
07309,07,Cranston Child Development Center,848 Atwood Avenue,Cranston,RI,02920,1,10,PK Only,3,Private,place,-71.48111,41.79507,3/22/19,MJJames
07311,07,Western Cranston Learning Center,140 Natick Avenue,Cranston,RI,02920,1,10,PK Only,3,Private,place,-71.48681,41.75197,3/22/19,MJJames
07312,07,Sunshine Pre-School,690 Dyer Avenue,Cranston,RI,02920,1,50,PK-3/Elementary,3,Private,place,-71.45754,41.79327,3/22/19,MJJames
07315,,The Children's Workshop,546 Budlong Road,Cranston,RI,02920,1,12,PK-3,3,Private,place,-71.45875,41.76787,3/22/19,MJJames
07316,,Ocean State Academy,1301 Elmwood Ave,Cranston,RI,02910,1,52,PK-12,3,Private,place,-71.42201,41.77537,3/22/19,MJJames
07331,07,Happy Hollow Nursery School,139 Ocean Avenue,Cranston,RI,02905,1,10,PK Only,3,Private,place,-71.38987,41.76752,3/22/19,MJJames
07336,07,Learning Brooke,1170 Pontiac Avenue,Cranston,RI,02920,1,50,PK-3/Elementary,3,Private,place,-71.44888,41.75361,3/22/19,MJJames
07342,07,Carriage House Day Care,156 Shaw Avenue,Cranston,RI,02905,1,20,Elementary,3,Private,place,-71.39686,41.77497,3/22/19,MJJames
07345,07,Faith Nursery School,499 Hope Road,Cranston,RI,02921,1,10,PK Only,3,Private,place,-71.51497,41.75182,3/22/19,MJJames
07350,07,Pumpkin Patch Early Learning Center,220 Comstock Parkway,Cranston,RI,02921,1,50,PK-3/Elementary,3,Private,place,-71.51491,41.78029,3/22/19,MJJames
07351,,Miss Lee Ann's Early Learning Center,180 Oaklawn Avenue,Cranston,RI,02920,1,50,PK-3/Elementary,3,Private,place,-71.46955,41.77149,3/22/19,MJJames
07353,,A Childs University - Cranston,695 Park Avenue,Cranston,RI,02910,1,12,PK-3,3,Private,place,-71.43713,41.78096,3/22/19,MJJames
07406,07,Paul Mitchell-The School,379 Atwood Avenue,Cranston,RI,02920,1,60,Postsecondary,4,Postsecondary,place,-71.4725,41.78642,3/22/19,MJJames
07407,,Toni and Guy Hairdressing Academy,1400 Oaklawn Avenue,Cranston,RI,02920,1,60,Postsecondary,4,Postsecondary,shop,-71.4788,41.73282,3/22/19,MJJames
07702,67,DCYF Alternative Education Program,57 Power Road,Cranston,RI,02920,1,56,Ungraded,7,State_operated,place,-71.45969,41.74444,3/22/19,MJJames
07704,66,RI Department of Corrections,18 Wilma Schesler Lane,Cranston,RI,02920,1,56,Ungraded,7,State_operated,place,-71.46557,41.73864,3/22/19,MJJames
08107,08,B.F. Norton Elementary School,364 Broad Street,Cumberland,RI,02864,1,20,Elementary,1,Public,amenity,-71.39502,41.90883,3/22/19,MJJames
08108,08,Garvin Memorial School,1364 Diamond Hill Road,Cumberland,RI,02864,1,20,Elementary,1,Public,amenity,-71.4021,41.92837,3/22/19,MJJames
08109,08,Community School,15 Arnold Mills Road,Cumberland,RI,02864,1,20,Elementary,1,Public,place,-71.39797,41.97722,3/22/19,MJJames
08110,08,John J. McLaughlin Cumberland Hill School,205 Manville Hill Road,Cumberland,RI,02864,1,20,Elementary,1,Public,place,-71.46122,41.9765,3/22/19,MJJames
08112,08,Ashton School,130 Scott Road,Cumberland,RI,02864,1,20,Elementary,1,Public,building,-71.42779,41.9474,3/22/19,MJJames
08114,08,Cumberland High School,2600 Mendon Road,Cumberland,RI,02864,1,40,Secondary,1,Public,place,-71.44516,41.96406,3/22/19,MJJames
08115,08,Joseph L. McCourt Middle School,45 Highland Avenue,Cumberland,RI,02864,1,30,Middle,1,Public,amenity,-71.39256,41.9185,3/22/19,MJJames
08116,08,North Cumberland Middle School,400 Nate Whipple Highway,Cumberland,RI,02864,1,30,Middle,1,Public,place,-71.41992,41.98232,3/22/19,MJJames
08120,75,Northern RI Collaborative,640 George Washington Hwy,Lincoln,RI,02865,1,54,Elementary/Secondary,1,Public,place,-71.48412,41.93539,3/22/19,MJJames
08121,08,Cumberland Preschool Center,130 Scott Road,Cumberland,RI,02864,1,10,PK Only,1,Public,building,-71.42779,41.9474,3/22/19,MJJames
08201,08,Mercymount Country Day School,35 Wrentham Road,Cumberland,RI,02864,1,50,PK-3/Elementary,2,Parochial,place,-71.41471,42.01003,3/22/19,MJJames
08301,08,Academy for Little Children-Cumberland,35 Industrial Road,Cumberland,RI,02864,1,50,PK-3/Elementary,3,Private,place,-71.39894,41.95305,3/22/19,MJJames
08302,08,Cherry Blossom Early Enrichment School,3191 Mendon Road,Cumberland,RI,02864,1,50,PK-3/Elementary,3,Private,place,-71.45582,41.97447,3/22/19,MJJames
08303,,Bradley School North,7 Fatima Drive,Cumberland,RI,02864,1,20,Elementary,3,Private,place,-71.38978,41.90528,3/22/19,MJJames
08322,08,Four Corners YMCA Early Learning Center,160 Bear Hill Road,Cumberland,RI,02864,1,50,PK-3/Elementary,3,Private,place,-71.38823,41.94841,3/22/19,MJJames
08330,08,Emmanuel Nursery School,120 Nate Whipple Highway,Cumberland,RI,02864,1,10,PK Only,3,Private,place,-71.4479,41.97879,3/22/19,MJJames
08331,08,The Neighborhood Nursery,2550 Diamond Hill Road,Cumberland,RI,02864,1,10,PK Only,3,Private,place,-71.40139,41.95978,3/22/19,MJJames
08332,,Hand in Hand Christian Preschool,126 Angell Road,Cumberland,RI,02864,1,10,PK Only,3,Private,place,-71.41521,41.9463,3/22/19,MJJames
08601,47,Blackstone Valley Prep Elementary School,291 Broad Street,Cumberland,RI,02864,1,20,Elementary,6,Charter,place,-71.39221,41.90466,3/22/19,MJJames
08602,47,Blackstone Valley Prep Middle School,909 Lonsdale,Central Falls,RI,02863,1,30,Middle,6,Charter,place,-71.40199,41.88914,3/22/19,MJJames
08603,47,Blackstone Valley Prep Elementary 2 School,52 Broad St.,Cumberland,RI,02864,1,20,Elementary,6,Charter,place,-71.39093,41.90113,3/22/19,MJJames
08604,47,Blackstone Valley Prep High School,65 Macondray Avenue,Cumberland,RI,02864,1,40,Secondary,6,Charter,place,-71.3936,41.9021,3/22/19,MJJames
08605,47,Blackstone Valley Prep Elementary 3 School,3357 Mendon Rd.,Cumberland,RI,02864,1,20,Elementary,6,Charter,amenity,-71.45824,41.97786,3/22/19,MJJames
08606,47,Blackstone Valley Prep Middle School 2,3 Fairlawn Way,Lincoln,RI,02865,1,30,Middle,6,Charter,place,-71.41536,41.8874,3/22/19,MJJames
09102,09,James H. Eldredge El. School,101 First Avenue,East Greenwich,RI,02818,1,20,Elementary,1,Public,building,-71.45614,41.65746,3/22/19,MJJames
09103,09,Archie R. Cole Middle School,100 Cedar Avenue,East Greenwich,RI,02818,1,30,Middle,1,Public,amenity,-71.46305,41.651,3/22/19,MJJames
09105,09,Frenchtown School,1100 Frenchtown Road,East Greenwich,RI,02818,1,20,Elementary,1,Public,amenity,-71.50449,41.62362,3/22/19,MJJames
09106,09,East Greenwich High School,300 Avenger Drive,East Greenwich,RI,02818,1,40,Secondary,1,Public,amenity,-71.48425,41.63698,3/22/19,MJJames
09107,09,Meadowbrook Farms School,2 Chestnut Drive,East Greenwich,RI,02818,1,20,Elementary,1,Public,amenity,-71.48171,41.63644,3/22/19,MJJames
09108,09,George Hanaford School,200 Middle Road,East Greenwich,RI,02818,1,20,Elementary,1,Public,amenity,-71.46894,41.65023,3/22/19,MJJames
09201,09,Our Lady of Mercy Regional School,55 Fourth Avenue,East Greenwich,RI,02818,1,50,PK-3/Elementary,2,Parochial,amenity,-71.45657,41.6546,3/22/19,MJJames
09301,09,The Stork's Nest Child Academy,3116 South County Trail,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,amenity,-71.49288,41.63508,3/22/19,MJJames
09303,09,London Bridge Child Care Center,146 Duke Street,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,building,-71.44802,41.65946,3/22/19,MJJames
09305,,The Nested Academy,3116 South County Trail,East Greenwich,RI,02818,1,10,PK Only,3,Private,amenity,-71.49288,41.63508,3/22/19,MJJames
09322,09,Happy Hearts Learning Center,2608 South County Trail,East Greenwich,RI,02818,1,10,PK Only,3,Private,building,-71.492,41.6256,3/22/19,MJJames
09323,09,Barbara M. Tufts Cooperative Preschool,1558 South County Trail,East Greenwich,RI,02818,1,10,PK Only,3,Private,amenity,-71.49508,41.65377,3/22/19,MJJames
09324,09,East Greenwich Pre-School,167 Tillinghast Road,East Greenwich,RI,02818,1,10,PK Only,3,Private,amenity,-71.51529,41.63886,3/22/19,MJJames
09327,09,A Step Up,88 Crompton Road,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,amenity,-71.53131,41.66102,3/22/19,MJJames
09328,09,The Children's Workshop,934 Main Street,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,amenity,-71.45594,41.65227,3/22/19,MJJames
09332,09,Aim High Early Learning Center,3355 South County Trail,East Greenwich,RI,02818,1,10,PK Only,3,Private,leisure,-71.4956,41.60517,3/22/19,MJJames
09333,,Playground Prep,1635 Division Road,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,building,-71.51031,41.66236,3/22/19,MJJames
09334,,Sweet Peas Village (Annex),836 Middle Road,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,amenity,-71.49033,41.64489,3/22/19,MJJames
09335,,SWEET PEAS VILLAGE Early Childhood School,836 Middle Road,East Greenwich,RI,02818,1,50,PK-3/Elementary,3,Private,amenity,-71.49033,41.64489,3/22/19,MJJames
09902,,Montessori of Greenwich Bay,3285 South County Trail,East Greenwich,RI,02818,1,10,PK Only,9,Other,building,-71.49372,41.6076,3/22/19,MJJames
10104,10,Edward R. Martin Middle School Annex,111 Brown Street,East Providence,RI,02914,1,10,PK Only,1,Public,place,-71.3641,41.80897,3/22/19,MJJames
10105,10,James R. D. Oldham School Annex,60 Bart Drive,East Providence,RI,02915,1,10,PK Only,1,Public,place,-71.34545,41.77247,3/22/19,MJJames
10109,10,Edward R. Martin Middle School,111 Brown Street,East Providence,RI,02914,1,30,Middle,1,Public,place,-71.3641,41.80897,3/22/19,MJJames
10111,10,James R. D. Oldham School,60 Bart Drive,East Providence,RI,02915,1,20,Elementary,1,Public,place,-71.34545,41.77247,3/22/19,MJJames
10112,10,East Providence High School,2000 Pawtucket Avenue,East Providence,RI,02914,1,40,Secondary,1,Public,highway,-71.34798,41.83388,3/22/19,MJJames
10113,10,Kent Heights School,2680 Pawtucket Avenue,East Providence,RI,02914,1,20,Elementary,1,Public,amenity,-71.36123,41.80151,3/22/19,MJJames
10114,10,Alice M. Waddington School,101 Legion Way,Riverside,RI,02915,1,20,Elementary,1,Public,place,-71.34158,41.76333,3/22/19,MJJames
10116,10,Agnes B. Hennessey School,75 Fort Street,East Providence,RI,02914,1,20,Elementary,1,Public,place,-71.3835,41.81295,3/22/19,MJJames
10117,10,Emma G. Whiteknact School,261 Grosvenor Avenue,East Providence,RI,02914,1,20,Elementary,1,Public,place,-71.36329,41.81553,3/22/19,MJJames
10122,10,Riverside Middle School,179 Forbes Street,Riverside,RI,02915,1,30,Middle,1,Public,highway,-71.35473,41.77583,3/22/19,MJJames
10123,10,Silver Spring School,120 Silver Spring Avenue,East Providence,RI,02914,1,20,Elementary,1,Public,amenity,-71.36928,41.7983,3/22/19,MJJames
10124,10,Orlo Avenue School,25 Orlo Avenue,East Providence,RI,02914,1,20,Elementary,1,Public,place,-71.36313,41.82484,3/22/19,MJJames
10125,10,Myron J. Francis Elementary School,64 Bourne Avenue,Rumford,RI,02916,1,20,Elementary,1,Public,amenity,-71.36065,41.84166,3/22/19,MJJames
10130,10,E. Providence Area Career and Technical Center,1998 Pawtucket Avenue,East Providence,RI,02914,1,40,Secondary,1,Public,place,-71.35629,41.82125,3/22/19,MJJames
10202,10,Sacred Heart School,56 Purchase Street,East Providence,RI,02914,1,20,Elementary,2,Parochial,place,-71.37785,41.81842,3/22/19,MJJames
10205,10,St. Margaret School,42 Bishop Avenue,East Providence,RI,02916,1,50,PK-3/Elementary,2,Parochial,place,-71.34955,41.8438,3/22/19,MJJames
10208,10,St. Mary Academy-Bay View,3070 Pawtucket Avenue,East Providence,RI,02915,1,52,PK-12,2,Parochial,place,-71.36524,41.79105,3/22/19,MJJames
10301,10,Providence Country Day School,660 Waterman Avenue,East Providence,RI,02914,1,54,Elementary/Secondary,3,Private,place,-71.35774,41.81682,3/22/19,MJJames
10303,10,E. Providence Early Childhood Center,240 Crescent View Avenue,East Providence,RI,02915,1,10,PK Only,3,Private,amenity,-71.35669,41.75856,3/22/19,MJJames
10304,10,The Gordon School,45 Maxfield Avenue,East Providence,RI,02914,1,50,PK-3/Elementary,3,Private,amenity,-71.37287,41.80137,3/22/19,MJJames
10305,28,Meeting Street School,1000 Eddy Street,Providence,RI,02905,1,54,Elementary/Secondary,3,Private,building,-71.4056,41.80121,3/22/19,MJJames
10309,10,Brown Play School,4 Newman Avenue,Rumford,RI,02916,1,10,PK Only,3,Private,place,-71.35204,41.84131,3/22/19,MJJames
10310,10,The Children's Workshop-Rumford,411 Narragansett Park Drive,Rumford,RI,02916,1,20,Elementary,3,Private,highway,-71.34399,41.85778,3/22/19,MJJames
10312,10,The Wolf School,215 Ferris Avenue,East Providence,RI,02916,1,20,Elementary,3,Private,place,-71.34945,41.84979,3/22/19,MJJames
10325,10,Oliver Day School,162 Robinson Street,East Providence,RI,02914,1,50,PK-3/Elementary,3,Private,place,-71.36666,41.79924,3/22/19,MJJames
10332,10,Covenant Cooperative Nursery School,165 Rounds Avenue,Riverside,RI,02915,1,10,PK Only,3,Private,place,-71.3406,41.76817,3/22/19,MJJames
10333,10,Ocean State Montessori School,100 Grove Avenue,East Providence,RI,02914,1,50,PK-3/Elementary,3,Private,place,-71.37177,41.81769,3/22/19,MJJames
10344,,East Bay Head Start-Willett Avenue,386 Willett Avenue,Riverside,RI,02915,1,10,PK Only,3,Private,place,-71.35441,41.77378,3/22/19,MJJames
10406,10,Motoring Technical Training Institute,54 Water Street,East Providence,RI,02914,1,60,Postsecondary,4,Postsecondary,place,-71.38561,41.81758,3/22/19,MJJames
12101,12,Captain Isaac Paine Elementary School,160 Foster Center Road,Foster,RI,02825,1,20,Elementary,1,Public,place,-71.72771,41.80465,3/22/19,MJJames
13103,13,Fogarty Memorial School,736 Snake Hill Road,Glocester,RI,02857,1,20,Elementary,1,Public,place,-71.634239,41.877163,4/21/19,RPeters
13104,13,West Glocester Elementary,111 Reynolds Road,Glocester,RI,02814,1,50,PK-3/Elementary,1,Public,place,-71.778038,41.91221,4/21/19,RPeters
13301,13,Harmony Hill School,63 Harmony Hill Road,Glocester,RI,02814,1,54,Elementary/Secondary,3,Private,place,-71.62328,41.9156,3/22/19,MJJames
